,ac_code_icao,n_eng,e_type,wake,engine_bada,manual_file,engine_id,engine_database,combustor_description,eng_type,bp_ratio,press_ratio,rated_output,to_hc,co_hc,app_hc,idle_hc,lto_hc,to_co,co_co,app_co,idle_co,lto_co,to_nox,co_nox,app_nox,idle_nox,lto_nox,to_sn,co_sn,app_sn,idle_sn,max_sn,fuel_spec,to_fflow,co_fflow,app_fflow,idle_fflow,lto_fuel,amb_baro,amb_temp,humidity,manufacturer,source,synonyms,power,to_pm,co_pm,app_pm,idle_pm,valid
332,C30J,4,Turboprop,M,AE2100-D3,C30J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
333,C310,2,Piston,L,IO-520-M,C310,PF07,TSIO-520-WB,,,,,,15.8,13.9,12.1,8.2,,1018,1153,1299,462,,2.96,2.09,1.17,3.54,,,,,,,,0.027,0.023,0.014,0.0061,,,,,,foca,TSIO-520,325,0.1,0.07,0.04,0.05,TRUE
334,C311,1,Piston,L,AEIO-540-L1B5,E300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
335,C320,1,Piston,L,TSIO-520-R,T210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
336,C335,2,Piston,L,TSIO-520-E,C402,PF07,TSIO-520-WB,,,,,,15.8,13.9,12.1,8.2,,1018,1153,1299,462,,2.96,2.09,1.17,3.54,,,,,,,,0.027,0.023,0.014,0.0061,,,,,,foca,TSIO-520,325,0.1,0.07,0.04,0.05,TRUE
337,C336,2,Piston,L,O-360-A1G6D,BE76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
338,C337,1,Piston,L,TIO-540-AK1A,C82S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
339,C340,2,Piston,L,TSIO-520-N,C340,PF07,TSIO-520-WB,,,,,,15.8,13.9,12.1,8.2,,1018,1153,1299,462,,2.96,2.09,1.17,3.54,,,,,,,,0.027,0.023,0.014,0.0061,,,,,,foca,TSIO-520,325,0.1,0.07,0.04,0.05,TRUE
340,C365,1,Turboprop,L,PT6A-68,TEX2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
341,C402,2,Piston,L,TSIO-520-E,C402,PF07,TSIO-520-WB,,,,,,15.8,13.9,12.1,8.2,,1018,1153,1299,462,,2.96,2.09,1.17,3.54,,,,,,,,0.027,0.023,0.014,0.0061,,,,,,foca,TSIO-520,325,0.1,0.07,0.04,0.05,TRUE
342,C404,2,Piston,L,TIO-540-A2C,PA31,PF01,IO-550-B,,,,,,12.65,12.32,11.52,42.62,,826.59,795.04,1064.62,1163.39,,6.64,7.31,2.7,0.52,,,,,,,,0.0182,0.018,0.0098,0.0038,,,,,,foca,IO-550,300,0.1,0.07,0.04,0.05,TRUE
343,C408,1,Turboprop,L,PT6A-114A,C208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
344,C411,2,Piston,L,TIO-540-A2C,PA31,PF01,IO-550-B,,,,,,12.65,12.32,11.52,42.62,,826.59,795.04,1064.62,1163.39,,6.64,7.31,2.7,0.52,,,,,,,,0.0182,0.018,0.0098,0.0038,,,,,,foca,IO-550,300,0.1,0.07,0.04,0.05,TRUE
345,C414,2,Piston,L,TSIO-520-NB,C414,PF07,TSIO-520-WB,,,,,,15.8,13.9,12.1,8.2,,1018,1153,1299,462,,2.96,2.09,1.17,3.54,,,,,,,,0.027,0.023,0.014,0.0061,,,,,,foca,TSIO-520,325,0.1,0.07,0.04,0.05,TRUE
346,C42,1,Piston,L,O-200-D,C162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icao,,,,,,,FALSE
